PARAM,HORIZON,LANES,MARGIN,NUM_VEHICLES,PARK_CAP_MULT,AIR_SPEED,MAX_ENDURANCE,OPERATIONAL_CAP,TAT,NETWORKS,WEATHER_SCEN,WEATHER_CUTOFF,FIXED_DIR,DEM_MIN_VERT,DEMAND_ALPHA,TIME_DISC,NUM_ROUTES,PP_ALGO,TPR,KNN,PRED_TYPE,SEEDS,TIME_LIMIT,OPT_GAP
1,180,2,3.0,5,1.1,100.0,90,1,15,Victor_Network,0,0,0,1.0,30.0,1,1,backward_one,0.7,1,Oracle,405,1800,0.01
2,180,4,3.0,5,1.1,100.0,90,1,15,Victor_Network,0,0,0,1.0,30.0,1,1,backward_one,0.7,1,Oracle,405,1800,0.01
3,180,8,3.0,5,1.1,100.0,90,1,15,Victor_Network,0,0,0,1.0,30.0,1,1,backward_one,0.7,1,Oracle,405,1800,0.01
4,180,2,5.0,5,1.1,100.0,90,1,15,Victor_Network,0,0,0,1.0,30.0,1,1,backward_one,0.7,1,Oracle,405,1800,0.01
5,180,4,5.0,5,1.1,100.0,90,1,15,Victor_Network,0,0,0,1.0,30.0,1,1,backward_one,0.7,1,Oracle,405,1800,0.01
6,180,8,5.0,5,1.1,100.0,90,1,15,Victor_Network,0,0,0,1.0,30.0,1,1,backward_one,0.7,1,Oracle,405,1800,0.01
7,180,2,10.0,5,1.1,100.0,90,1,15,Victor_Network,0,0,0,1.0,30.0,1,1,backward_one,0.7,1,Oracle,405,1800,0.01
8,180,4,10.0,5,1.1,100.0,90,1,15,Victor_Network,0,0,0,1.0,30.0,1,1,backward_one,0.7,1,Oracle,405,1800,0.01
9,180,8,10.0,5,1.1,100.0,90,1,15,Victor_Network,0,0,0,1.0,30.0,1,1,backward_one,0.7,1,Oracle,405,1800,0.01
10,180,2,3.0,5,1.5,100.0,90,1,15,Victor_Network,0,0,0,1.0,30.0,1,1,backward_one,0.7,1,Oracle,405,1800,0.01
11,180,4,3.0,5,1.5,100.0,90,1,15,Victor_Network,0,0,0,1.0,30.0,1,1,backward_one,0.7,1,Oracle,405,1800,0.01
