PARAM,FORMULATION,NODE_MULT,VERTIPORTS,ANG_CUTOFF,HORIZON,LANES,MARGIN,NUM_VEHICLES,PARKING_CAP,AIR_SPEED,MAX_ENDURANCE,OPERATIONAL_CAP,NETWORKS,WEATHER_SCEN,DEM_MIN_VERT,DEMAND_ALPHA,TIME_DISC,NUM_ROUTES,ROUTE_SEEDING,PP_ALGO,TPR,KNN,SEEDS
1,FBF,5.0,5,15.0,30,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
2,FBF,5.0,15,15.0,30,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
3,FBF,5.0,30,15.0,30,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
4,FBF,5.0,50,15.0,30,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
5,FBF,5.0,5,15.0,60,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
6,FBF,5.0,15,15.0,60,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
7,FBF,5.0,30,15.0,60,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
8,FBF,5.0,50,15.0,60,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
9,FBF,5.0,5,15.0,90,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
10,FBF,5.0,15,15.0,90,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
11,FBF,5.0,30,15.0,90,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
12,FBF,5.0,50,15.0,90,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
13,FBF,5.0,5,15.0,120,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
14,FBF,5.0,15,15.0,120,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
15,FBF,5.0,30,15.0,120,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
16,FBF,5.0,50,15.0,120,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
17,FBF,5.0,5,15.0,150,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
18,FBF,5.0,15,15.0,150,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
19,FBF,5.0,30,15.0,150,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
20,FBF,5.0,50,15.0,150,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
21,FBF,5.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
22,FBF,5.0,15,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
23,FBF,5.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
24,FBF,5.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
25,FBF,5.0,5,15.0,30,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
26,FBF,5.0,15,15.0,30,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
27,FBF,5.0,30,15.0,30,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
28,FBF,5.0,50,15.0,30,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
29,FBF,5.0,5,15.0,60,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
30,FBF,5.0,15,15.0,60,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
31,FBF,5.0,30,15.0,60,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
32,FBF,5.0,50,15.0,60,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
33,FBF,5.0,5,15.0,90,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
34,FBF,5.0,15,15.0,90,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
35,FBF,5.0,30,15.0,90,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
36,FBF,5.0,50,15.0,90,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
37,FBF,5.0,5,15.0,120,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
38,FBF,5.0,15,15.0,120,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
39,FBF,5.0,30,15.0,120,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
40,FBF,5.0,50,15.0,120,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
41,FBF,5.0,5,15.0,150,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
42,FBF,5.0,15,15.0,150,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
